,cod,nome,período,valor,classe,taxa
323,4,S,2010,1131,HN,41.39
324,2,NE,2010,14659,HN,76.43
325,2,NE,2011,14916,HN,77.7
326,1,N,2011,4552,HN,74.16
327,5,CO,2011,3315,HN,80.53
328,4,S,2011,1149,HN,40.85
329,3,SE,2011,8953,HN,51.64
330,2,NE,2012,16009,HN,80.95
331,3,SE,2012,9727,HN,53.3
332,1,N,2012,4886,HN,76.06
333,4,S,2012,1321,HN,44.52
334,5,CO,2012,3882,HN,88.66
335,4,S,2013,1095,HN,36.08
336,3,SE,2013,9964,HN,53.5
337,5,CO,2013,3915,HN,87.8
338,2,NE,2013,16533,HN,80.95
339,1,N,2013,4758,HN,71.67
340,4,S,2014,1256,HN,41.72
341,1,N,2014,5070,HN,74.33
342,3,SE,2014,10637,HN,57.11
343,5,CO,2014,3984,HN,88.5
344,2,NE,2014,17991,HN,89.07
345,3,SE,2015,9713,HN,50.63
346,1,N,2015,5677,HN,82.49
347,4,S,2015,1397,HN,45.29
348,5,CO,2015,3848,HN,83.23
349,2,NE,2015,18045,HN,88.41
350,3,SE,2016,10135,HN,51.16
351,4,S,2016,1539,HN,46.9
352,5,CO,2016,3951,HN,82.38
353,1,N,2016,6517,HN,92.98
354,2,NE,2016,20212,HN,97.68
355,1,N,2017,6941,HN,99.39
356,5,CO,2017,3711,HN,76.24
357,4,S,2017,1666,HN,47.19
358,2,NE,2017,23536,HN,113.8
359,3,SE,2017,10363,HN,51.1
